Chapter ,Verse,Word,MS_A,MS_B,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names
10,19,1,זרע,זרע,Same,,,Lexical,Synonym
,,2,נכבד,נקלה,Lexical,Anthonym,,Morphological,Anthonym
,,3,מה,מ̇ה̇,Same,,,Inversion,Metathesis
,,4,זרע,זרע,Same,,,,Letter interchange
,,5,לאנוש,לאנוש,Same,,,Plus_Minus,Phonetic_affinity
,,6,זרע,זרע,Same,,,Same,Grammatical
,,7,נקלה,נקלה,Same,,,Unclassifiable,Orthographical
,,8,עובר,עובר,Same,,,toto,Coordination
,,9,מצוה,מצוה,Same,,,,Determination
,20,1,בין,בין,Same,,,,Singular/Plural
,,2,אחים,אחים,Same,,,,Suffix Pron.
,,3,ראשם,ראשם,Same,,,,Syntax
,,4,נכבד,נכבד,Same,,,,Mispelling
,,5,וירא,וירא,Same,,,,Preposition
,,6,אלהים,אלהים,Same,,,,
,,7,בע̇[י],נכבד,Unclassifiable,,,,
,,8,נ̊[יו],ממנו,Unclassifiable,,,,
,22,1,גר,גר,Same,,,,
,,2,וזר,זר,Morphological,Coordination,,,
,,3,נכרי,נכרי,Same,,,,
,,4,ורש,ורש,Same,,,,
,,5,תפארתם,תפארתם,Same,,,,
,,6,י̊[ר]א̊ת,ירא֟ת,Unclassifiable,,,,
,,7,אלהים,ייי,Lexical,Synonym,,,
,23,1,אין,אין,Same,,,,
,,2,לבזות,לבזות,Same,,,,
,,3,ד̇ל̇,דל,Same,,,,
,,4,מ̊ש̇כיל,משכיל,Same,,,,
,,5,ואין,ואין,Same,,,,
,,6,לכבד,לכבד,Same,,,,
,,7,כ̊ל,כל,Same,,,,
,,8,איש,איש,Same,,,,
,,9,[ח]כ̊ם,חמס,Unclassifiable,,,,
,24,1,ש̇[ר],שר,Unclassifiable,,,,
,,2,מושל,שופט,Inversion,,,,
,,3,ושופט,ומושל,Inversion,,,,
,,4,נכב̇דו,נכבדו,Same,,,,
,,5,ו̇א̊[י]ן,וא̇[ין ],Unclassifiable,,,,
,,6,גד̇ול,ג̊̊ד̇[ול,Unclassifiable,,,,
,,7,מ̊[י]רא,מירא,Unclassifiable,,,,
,,8,אלהים,אלהים ],Unclassifiable,,,,
,25,1,עבד,עבד,Same,,,,
,,2,משכיל,משכיל,Same,,,,
,,3,הורם,חביב,Lexical,,,,
,,4,,כנפש,Unclassifiable,,,,
,,5,ועבד̊,וגב[ר,Unclassifiable,,,,
,,6,[ מ]ש,,Unclassifiable,,,,
,,7,[כיל],,Unclassifiable,,,,
,,8,ל̊א,,Unclassifiable,,,,
,,9,יתאונן,,Unclassifiable,,,,
,26,1,אַל,אל,Same,,,,
,,2,תתחכם,תתחכם,Same,,,,
,,3,לע̇ב̇ד,לעשות,Lexical,Synonym,,,
,,4,חפ̇צך,חפ֟צך,Same,,,,
,,5,ואל,ואל,Same,,,,
,,6,ת̊ת̇כ[בד,תתכב̊̊[ד,Unclassifiable,,,,
,,7,ב]ע̊ת̊,>,Unclassifiable,,,,
,,8,צרכך,>,Plus_Minus,,,,
10,27,1,טוב,טוב,Same,,,,
,,2,עובד,עובד,Same,,,,
,,3,ויותר,ויותר,Same,,,,
,,4,הון,הון,Same,,,,
,,5,ממ̊ת̊כבד,ממתכבד̊̊,Same,,,,
,,7,מתן׃,,Plus_Minus,,,,
,28,1,בני,בני,Same,,,,
,,2,בענוה,בענוה,Same,,,,
,,3,כבד,כבד,Same,,,,
,,4,נפשך,נפשך,Same,,,,
,,5,ויתן,ותן,Morphological,Grammatical,,,
,,6,לך,לה,Morphological,Suffix Pron.,,,
,,7,ט[ע]ם̊,טעם,Unclassifiable,,,,
,,8,כ̇י̇ו̇צ̇א̇,כי̊̊ו̊̊צ̊̊[א,Unclassifiable,,,,
,,9,בה,בה׃],Unclassifiable,,,,
,29,1,,בני,Plus_Minus,,,,
,,2,מרשיע,מרשיע,Same,,,,
,,3,נפשו,נפשו,Same,,,,
,,4,מי,מי,Same,,,,
,,5,יצדיקנו,יצדיקנו,Same,,,,
,,6,ומי,ומי,Same,,,,
,,7,יכבד,יכבד,Same,,,,
,,8,מקלה,מ̊̊[קלה,Unclassifiable,,,,
,,9,נפשו,נפשו׃],Unclassifiable,,,,
,30,1,יש,,Plus_Minus,,,,
,,2,דל,דל,Same,,,,
,,3,נכבד,נכבד,Same,,,,
,,4,בגלל,בגלל,Same,,,,
,,5,שכלו,שכלו,Same,,,,
,,6,ויש,ויש,Same,,,,
,,7,,איש,Plus_Minus,,,,
,,8,,עשיר,Plus_Minus,,,,
,,9,נכבד,נכבד,Same,,,,
,,10,בגלל,ב̇ג̇ל̇ל̊̊,Same,,,,
,,11,עש̇ר̊ו,[ עשרו׃],Unclassifiable,,,,
,31,1,נכבד,הנכבד,Morphological,Determination,,,
,,2,,בעיניו,Plus_Minus,,,,
,,3,בעשרו,ב̊̊ע̇שרו,Same,,,,
,,4,איככה,איככה,Same,,,,
,,5,ונקלה,ונקלה,Same,,,,
,,6,,בעשרו,Plus_Minus,,,,
,,7,בעיניו,בעיניו,Same,,,,
,,8,איככה,איככה,Same,,,,
,,9,ה̇מ̊ת̇כבד,המתכבד,Same,,,,
,,10,בדלותו,בדלותו,Same,,,,
,,11,בעשרו,בעשרו,Same,,,,
,,12,מתכבד,מתכבד,Same,,,,
,,13,יתר,יתר,Same,,,,
,,14,והנקלה,והנקלה,Same,,,,
,,15,בע̇שרו,בעשרו,Same,,,,
,,16,ב{ל}דלותו,בדלותו,Unclassifiable,,,,
,,17,נקלה,נקלה,Same,,,,
,,18,יותר,יתר,Morphological,Orthographical,,,
11,1,1,חכמת,חכמת,Same,,,,
,,2,דל,ד̇ל,Same,,,,
,,3,תשא,תשא,Same,,,,
,,4,ראשו,ר̊̊אשו,Same,,,,
,,5,ובין,ו̊̊ב̊̊י̊̊ן̊̊,Same,,,,
,,6,נדיבים,נ̇ד̊̊[י]ב̊̊[י]ם̊̊,Unclassifiable,,,,
,,7,תשיבנו,ת̊̊ו̊̊שי̊̊בנו,Morphological,Orthographical,,,
,2,1,אל,אל,Same,,,,
,,2,תהלל,תהלל,Same,,,,
,,3,אדם,אד̊̊ם̇,Same,,,,
,,4,בתארו,בתואר̊̊ו,Same,,,,
,,5,ואל,ואל,Same,,,,
,,6,תתעב,ת̇ת̇עב,Same,,,,
,,7,אדם,אדם,Same,,,,
,,8,מכ[וע]ר֯,מע֟זב,Unclassifiable,,,,
,,9,במראהו,ב̇מ̊̊ר̊̊א̊̊ה̇ו̇,Same,,,,
,3,1,>,קטנה,Plus_Minus,,,,
,,2,>,בעוף,Plus_Minus,,,,
,,3,>,דבורה,Plus_Minus,,,,
,,4,>,וראש,Plus_Minus,,,,
,,5,>,תנובות,Plus_Minus,,,,
,,6,>,פריה,Plus_Minus,,,,
,,7,אליל,אליֿל,Same,,,,
,,8,בעוף,בעוף,Same,,,,
,,9,דברה,דבורה,Morphological,Orthographical,,,
,,10,וראש,וראש,Same,,,,
,,11,תנובות,תנובות,Same,,,,
,,12,פריה,פ̇ר̇י̇ה,Same,,,,
,4,1,>,במעוטף,Plus_Minus,,,,
,,2,>,בגדים,Plus_Minus,,,,
,,3,>,אל,Plus_Minus,,,,
,,4,>,תתפאר,Plus_Minus,,,,
,,5,>,ואל,Plus_Minus,,,,
,,6,>,תקלס,Plus_Minus,,,,
,,7,>,במרירי,Plus_Minus,,,,
,,8,>,יום,Plus_Minus,,,,
,,9,ב̇עט̇ה,בעוטה,Morphological,Orthographical,,,
,,10,א[ז]ור,אזור,Unclassifiable,,,,
,,11,אל,אל,Same,,,,
,,12,תהת̇ל,תהתל,Same,,,,
,,13,ואל,ואל,Same,,,,
,,14,תקלס,תקלס,,,,,
,,15,במרירי,במרירי,Same,,,,
,,16,יום,יום,Same,,,,
,,17,כי,[כי,Unclassifiable,,,,
,,18,פלאות,פלאות,Same,,,,
,,19,מעשי,מע]ש̊̊[י,Unclassifiable,,,,
,,20,ייי, י]יי,Unclassifiable,,,,
,,21,ונעלם,ונעלם,Same,,,,
,,22,מֵ[אָ]דָ̊ם̊,מאנוש,Unclassifiable,,,,
,,23,פעלו,פעלו,Same,,,,
,5,1,רבים,[רבים,Unclassifiable,,,,
,,2,נדכאים,נדכאים,Unclassifiable,,,,
,,3,ישבו,ישבו],Unclassifiable,,,,
,,4,על,ע̊̊ל,Same,,,,
,,5,כס̇א,כסא,Same,,,,
,,6,ובל,ובל,Same,,,,
,,7,על,על,Same,,,,
,,8,לב,לב,Same,,,,
,,9,עטו,עטו,Same,,,,
,,10,צניף,צניף,Same,,,,
,,11,>,[על],Unclassifiable,,,,
,,12,>,כסא,Plus_Minus,,,,
,,13,>,ושפלי,Plus_Minus,,,,
,,14,>,לב,Plus_Minus,,,,
,,15,>,יעטו,Plus_Minus,,,,
,,16,>,צניף,Plus_Minus,,,,
,6,1,>,[מ]א̊̊ד̊̊,Plus_Minus,,,,
,,2,>,ונכבדים,Plus_Minus,,,,
,,3,>,נתנו,Plus_Minus,,,,
,,4,>,ביד,Plus_Minus,,,,
,,5,>,זעירים,Plus_Minus,,,,
,,6,נִקְל֣וּ,[נק]לו,Unclassifiable,,,,
,,7,מְאֹ֑דֿ,מאד,Same,,,,
,,8,וְהָשְׁפָלֽוּ,והושפלו,Morphological,Orthographical,,,
,,9,יַֹ֝חַדֿ•,י̊̊חד,Same,,,,
,,10,וְגַֿם,,Plus_Minus,,,,
