Chapter ,Verse,Word,MS_A,MS_Bmg,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names
10,19,1,זרע,,,,,Lexical,Synonym
,,2,נכבד,,,,,Morphological,Anthonym
,,3,מה,,,,,Inversion,Metathesis
,,4,זרע,,,,,,Letter interchange
,,5,לאנוש,,,,,Plus_Minus,Phonetic_affinity
,,6,זרע,,,,,Same,Grammatical
,,7,נקלה,,,,,Unclassifiable,Orthographical
,,8,עובר,,,,,toto,Coordination
,,9,מצוה,,,,,,Determination
,20,1,בין,,,,,,Singular/Plural
,,2,אחים,,,,,,Suffix Pron.
,,3,ראשם,,,,,,Syntax
,,4,נכבד,,,,,,Mispelling
,,5,וירא,,,,,,Preposition
,,6,אלהים,,,,,,
,,7,בע̇[י],,,,,,
,,8,נ̊[יו],,,,,,
,22,1,גר,,,,,,
,,2,וזר,,,,,,
,,3,נכרי,,,,,,
,,4,ורש,,,,,,
,,5,תפארתם,,,,,,
,,6,י̊[ר]א̊ת,ביר,Morphological,Preposition,,,
,,7,אלהים,,,,,,
,23,1,אין,,,,,,
,,2,לבזות,,,,,,
,,3,ד̇ל̇,,,,,,
,,4,מ̊ש̇כיל,,,,,,
,,5,ואין,,,,,,
,,6,לכבד,,,,,,
,,7,כ̊ל,,,,,,
,,8,איש,,,,,,
,,9,[ח]כ̊ם,,,,,,
,24,1,ש̇[ר],,,,,,
,,2,מושל,,,,,,
,,3,ושופט,,,,,,
,,4,נכב̇דו,,,,,,
,,5,ו̇א̊[י]ן,,,,,,
,,6,גד̇ול,,,,,,
,,7,מ̊[י]רא,,,,,,
,,8,אלהים,,,,,,
,25,1,עבד,,,,,,
,,2,משכיל,,,,,,
,,3,הורם,,,,,,
,,4,,,,,,,
,,5,ועבד̊,,,,,,
,,6,[ מ]ש,,,,,,
,,7,[כיל],,,,,,
,,8,ל̊א,,,,,,
,,9,יתאונן,,,,,,
,26,1,אַל,,,,,,
,,2,תתחכם,,,,,,
,,3,לע̇ב̇ד,,,,,,
,,4,חפ̇צך,,,,,,
,,5,ואל,,,,,,
,,6,ת̊ת̇כ[בד,,,,,,
,,7,ב]ע̊ת̊,,,,,,
,,8,צרכך,צרכך,Same,,,,
10,27,1,טוב,,,,,,
,,2,עובד,,,,,,
,,3,ויותר,,,,,,
,,4,הון,,,,,,
,,5,ממ̊ת̊כבד,,,,,,
,,7,מתן׃,,,,,,
,28,1,בני,,,,,,
,,2,בענוה,,,,,,
,,3,כבד,,,,,,
,,4,נפשך,,,,,,
,,5,ויתן,,,,,,
,,6,לך,,,,,,
,,7,ט[ע]ם̊,,,,,,
,,8,כ̇י̇ו̇צ̇א̇,,,,,,
,,9,בה,,,,,,
,29,1,,,,,,,
,,2,מרשיע,,,,,,
,,3,נפשו,,,,,,
,,4,מי,,,,,,
,,5,יצדיקנו,,,,,,
,,6,ומי,,,,,,
,,7,יכבד,,,,,,
,,8,מקלה,,,,,,
,,9,נפשו,,,,,,
,30,1,יש,,,,,,
,,2,דל,,,,,,
,,3,נכבד,,,,,,
,,4,בגלל,,,,,,
,,5,שכלו,,,,,,
,,6,ויש,,,,,,
,,7,,,,,,,
,,8,,,,,,,
,,9,נכבד,,,,,,
,,10,בגלל,,,,,,
,,11,עש̇ר̊ו,,,,,,
,31,1,נכבד,,,,,,
,,2,,,,,,,
,,3,בעשרו,,,,,,
,,4,איככה,,,,,,
,,5,ונקלה,,,,,,
,,6,,,,,,,
,,7,בעיניו,,,,,,
,,8,איככה,,,,,,
,,9,ה̇מ̊ת̇כבד,,,,,,
,,10,בדלותו,,,,,,
,,11,בעשרו,,,,,,
,,12,מתכבד,,,,,,
,,13,יתר,,,,,,
,,14,והנקלה,,,,,,
,,15,בע̇שרו,,,,,,
,,16,ב{ל}דלותו,,,,,,
,,17,נקלה,,,,,,
,,18,יותר,,,,,,
11,1,1,חכמת,,,,,,
,,2,דל,,,,,,
,,3,תשא,,,,,,
,,4,ראשו,,,,,,
,,5,ובין,,,,,,
,,6,נדיבים,,,,,,
,,7,תשיבנו,,,,,,
,2,1,אל,,,,,,
,,2,תהלל,,,,,,
,,3,אדם,,,,,,
,,4,בתארו,,,,,,
,,5,ואל,אל,Morphological,Coordination,,,
,,6,תתעב,תתעב,Same,,,,
,,7,אדם,אדם,Same,,,,
,,8,מכ[וע]ר֯,מכוע[ר֯],Unclassifiable,,,,
,,9,במראהו,במ',Same,,,,
,3,1,>,,,,,,
,,2,>,,,,,,
,,3,>,,,,,,
,,4,>,,,,,,
,,5,>,,,,,,
,,6,>,,,,,,
,,7,אליל,,,,,,
,,8,בעוף,,,,,,
,,9,דברה,,,,,,
,,10,וראש,,,,,,
,,11,תנובות,,,,,,
,,12,פריה,,,,,,
,4,1,>,,,,,,
,,2,>,,,,,,
,,3,>,,,,,,
,,4,>,,,,,,
,,5,>,,,,,,
