Chapter,Verse,Word,MS_B,MS_11QPsa,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
51,13,1,אני,אני,Same,,,Lexical,Synonym,
,,2,נער,נער,Same,,,,,
,,3,הייתי,בטרם,Lexical,Synonym,,,,
,,4,וחפצתי,תעיתי,Lexical,,,Morphological,Anthonym,
,,5,בה,,Plus_Minus,,,Inversion,Metathesis,
,,6,ובקשתיה,ובקשתיה,Same,,,Unclassified,Letter interchange,
,15,1,,גם,Plus_Minus,,,,Lexical,
,,2,,גרע,Plus_Minus,,,,Masc/Fem,
,,3,,נץ,Plus_Minus,,,Plus_Minus,Phonetic_affinity,
,,4,,בבשול,Plus_Minus,,,Same,Grammatical,
,,5,,ענבים,Plus_Minus,,,Unclassifiable,Orthographical,
,,6,,ישמחו,Plus_Minus,,,,Coordination,
,,7,,לב,Plus_Minus,,,,Determination,
,,8,,דרכה,Plus_Minus,,,,Singular/Plural,
,,9,,רגלי,Plus_Minus,,,,Suffix Pron.,
,,10,באמתה,במישור,Lexical,,,,Syntax,
,,11,דרכה,,Plus_Minus,,,,Mispelling,
,,12,רגלי,,Plus_Minus,,,,Preposition,
,,13,אדני,כי,Lexical,,,,,
,,14,מנעורי,מנעורי,Same,,,,,
,,15,חכמה,ידעתיה,Lexical,,,,,
,,16, למדתי,,Plus_Minus,,,,,
,14/16,1,ואתפלל,הטיתי,Lexical,,,,,
,,2,תפלה,כמעט,Lexical,,,,,
,,3,בנערותי,אוזני,Lexical,,,,,
,,4,והרבה,והרבה,Same,,,,,
,,5,מצאתי,מצאתי,Same,,,,,
,,6,דעה,לקח,Same,,,,,
,17,1,עלה,ועלה,Morphological,Coordination,,,,
,,2,היה,היתה,Morphological,Grammatical,,,,
,,3,לי,לי,Same,,,,,
,,4,לכבוד,,Plus_Minus,,,,,
,,5,ולמלמדי,למלמדי,Morphological,Coordination,,,,
,,6,אתן,אתן,Same,,,,,
,,7,הודאה,הודו,Morphological,Orthographical,,,,
,18,1,חשבתי,זמותי,Lexical,Synonym,,,,
,,2,להיטיב,ואשחקה,Lexical,,,,,
,,3,,קנאתי,Plus_Minus,,,,,
,,4,,בטוב,Plus_Minus,,,,,
,,5,ולא,ולוא,Morphological,Orthographical,,,,
,,6,אהפך,אשוב,Lexical,,,,,
,,7,כי,,Plus_Minus,,,,,
,,8,אמצאנו,,Plus_Minus,,,,,
,19,1,חשקה,חריתי,Lexical,,,,,
,,2,נפשי,נפשי,Same,,,,,
,,3,בה,בה,Same,,,,,
,,4,ופני,ופני,Same,,,,,
,,5,לא,לוא,Morphological,Orthographical,,,,
,,6,אהפך,השי̇ב̇ותי֯,Lexical,Synonym,,,,
,,7,ממנה,,Plus_Minus,,,,,
,,8,נפשי,טרתי,Lexical,,,,,
,,9,נתתי,נפשי,Lexical,,,,,
,,10,אחריה,בה,Lexical,,,,,
,,11,לנצח,,Plus_Minus,,,,,
,,12,נצחים,וברומיה,Lexical,,,,,
,,13,לא,לוא,Morphological,Orthographical,,,,
,,14,אטה̊̊,אשלה,Lexical,,,,,
,,15,מ̊̊מ̊̊נ̊̊[ה],,Unclassifiable,,,,,
,,16,ידי,ידי,Same,,,,,
,,17,פתחה,פתח֯[ה,Unclassifiable,,,,,
,,18,שעריה,בי]א̇ת̊ה,Unclassifiable,,,,,
,,19,ולה,ו̊ב̇מערמיה,Lexical,,,,,
,,20,אה̇ד̇ר̇,אתבונן,Lexical,,,,,
,,21,ואביט,,Plus_Minus,,,,,
,,22,בה̊̊,,Plus_Minus,,,,,
,20,1,בטהרה,כפי,Lexical,,,,,
,,2,מצאתיה,הבריתי,Lexical,,,,,
,,3,ולב,אלי̇ה̇,Lexical,,,,,
,,4,קניתי,,Plus_Minus,,,,,
,,5,לה,,Plus_Minus,,,,,
,,6,מתחלתה,[ובטהר]ה̊,Unclassifiable,,,,,
,,7,בעבור,[מצאתיה],Unclassifiable,,,,,
,,8,כ̊̊ן̊̊[,[לב,Unclassifiable,,,,,
,,9,,קניתי,Plus_Minus,,,,,
,,10,,עמה,Plus_Minus,,,,,
,,11,,מר]א̊ש̊,Unclassifiable,,,,,
,,12,,ל̇[כן,Unclassifiable,,,,,
,,13,,לו]א̊,Unclassifiable,,,,,
,,14,,א̊ע̊[ז]ב̊נ̊ה̊,Unclassifiable,,,,,
