Chapter,Verse,Word,MS_B,MS_C,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
36,27,1,תואר,תואר,Same,,,Lexical,Synonym,
,,2,אשה,אשה,Same,,,,,
,,3,והליל,מכל,Lexical,,,,,
,,4,פנים,פנים,Same,,,Morphological,Anthonym,
,,5,,[יהלל,Unclassifiable,,,Inversion,Metathesis,
,,6,ועל,ן]על,Unclassifiable,,,Unclassified,Letter interchange,
,,7,כל,כל,Same,,,,Lexical,
,,8,מחמד,[מחמד],Unclassifiable,,,,Masc/Fem,
,,9,עין,עין,Same,,,Plus_Minus,Phonetic_affinity,
,,10,יגבר,יגב[ר ],Unclassifiable,,,Same,Grammatical,
,28,1,ועד,[ועד,Unclassifiable,,,Unclassifiable,Orthographical,
,,2,אם,אם],Unclassifiable,,,,,
,,3,יש,יש,Same,,,,Preposition,
,,4,,בה,Plus_Minus,,,,,
,,5,מרפא,מ[ר]פא,Same,,,,,
,,6,לשון,לשון,Same,,,,,
,,7,אין,[אין,Unclassifiable,,,,,
,,8,אשה,א]ישה,Unclassifiable,,,,,
,,9,מבני,מבני,Same,,,,,
,,10,אדם,אדם,Same,,,,,
,29,1,קנה,[קונה],Unclassifiable,,,,,
,,2,אשה,אשה,Same,,,,,
,,3,ראשית,ראשית,Same,,,,,
,,4,קנין,קנין,Same,,,,,
,,5,עזר,קנה,Lexical,,,,,
,,6,,עיר,Plus_Minus,,,,,
,,7,ומבצר,מבצר,Morphological,Coordination,,,,
,,8,ועמוד,צינה,Lexical,,,,,
,,9,משען,ומשען,Morphological,Coordination,,,,
,,10,,העמיד,Plus_Minus,,,,,
,30,1,באין,באין,Same,,,,,
,,2,גדיר,גדר,Morphological,Orthographical,,,,
,,3,יבועד,[יבו]עד,Unclassifiable,,,,,
,,4,כרם,כרם,Same,,,,,
,,5,ובאין,ובאין,Same,,,,,
,,6,אשה,אשה,Same,,,,,
,,7,נע, [נ]ע,Unclassifiable,,,,,
,,8,ונד,ונד,Same,,,,,
,31,1,מי,מי,Same,,,,,
,,2,יאמין,יאמין,Same,,,,,
,,3,בגדוד,בצבא,Inversion,,,,,
,,4,צבא,גדוד,Inversion,,,,,
,,5,המדלג,המדלג,Same,,,,,
,,6,מעיר,מעיר,Same,,,,,
,,7,אל,אל,Same,,,,,
,,8,עיר,עיר,Same,,,,,
,,9,כן,כן,Same,,,,,
,,10,איש,איש,Same,,,,,
,,11,אשר,אשר,Same,,,,,
,,12,לא,לו,Lexical,,,,,
,,13,קן,קין,Lexical,,,,,
,,14,המרגיע,המרגיע,Same,,,,,
,,15,באשר,באשה,Lexical,,,,,
,,16,יערב,יסביב,Lexical,,,,,
