Chapter,Verse,Word,MS_B,MS_D,MS_D_mg,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
37,1,1,֟כל,כל,,Same,,,,,
,,2,או̇מר,אוהב,,Lexical,,,,,
,,3,אמר,יאמר,,Morphological,Grammatical,,,,
,,4,אהבתי,אהבתי,,Same,,,,,
,,5,,אך,,Plus_Minus,,,,,
,,6,,יש,,Plus_Minus,,,,,
,,7,,אהב,,Plus_Minus,,,,,
,,8,,שם,,Plus_Minus,,,,,
,,9,,אהב,,Plus_Minus,,,,,
,2,1,֟הלא,הלא,,Same,,,,,
,,2,דין,דין,,Same,,,,,
,,3,מגיע,מגיע,,Same,,,,,
,,4,אל,עד,,Lexical,Preposition,,,,
,,5,מות,מות,,Same,,,,,
,,6,רע,ריע,,Same,,,,,
,,7,כנפש,כנפש,,Same,Orthographical,,,,
,,8,נהפך,נהפך,,Same,,,,,
,,9,לצר׃,לצר,,Same,Grammatical,,,,
37,3,1,הי̇ו֟,הוֹי,,Morphological,Orthographical,,Lexical,Synonym,
,,2,רע,רַ֭ע,,Same,,,,,
,,3,ש̇א֟̇מ̇ר,יאֹמַ֥ר,,Morphological,Grammatical,,Morphological,Anthonym,
,,4,מדוע,מדוע,,Same,,,Inversion,Metathesis,
,,5,כן,,,Plus_Minus,,,Unclassifiable,Letter interchange,
,,6,נו֟צרתי,נוצָ֑רתי,,Same,,,,Lexical,
,,7,למלא,לְמַלֵּא֤,,Same,,,,Masc/Fem,
,,8,פ̇ני,פְנֵי֭,,Same,,,Plus_Minus,Phonetic_affinity,
,,9,תב̇ל,תֵבֵֿל֥,,Same,,,Same,Grammatical,
,,10,תרמית,תַּרְמִיֽת,,Same,,,Unclassifiable,Orthographical,
,4,1,מר֟ע,מרע,,Same,,,,Coordination,
,,2,אוהב,אוהב,,Same,,,,Determination,
,,3,מביט,מביט,,Same,,,,Singular/Plural,
,,4,אל,על,,Lexical,,,,Suffix Pron.,
,,5,ש֟לחן,שחת,,Lexical,,,,Syntax,
,,6,בעת,ובעת,,Morphological,Coordination,,,Mispelling,
,,7,צוקה,צוקה,,Same,,,,Preposition,
,,8,מנ֟גד,מנוב,,Lexical,,,,,
,,9,יעמד,יעמוד,,Morphological,Orthographical,,,,
,5,1,>,אוהב,,Plus_Minus,,,,,
,,2,>,טוב,,Plus_Minus,,,,,
,,3,>,נלחם,,Plus_Minus,,,,,
,,4,>,עם,,Plus_Minus,,,,,
,,5,>,זר,,Plus_Minus,,,,,
,,6,>,ונגד,,Plus_Minus,,,,,
,,7,>,ערים,,Plus_Minus,,,,,
,,8,>,יחזיק,,Unclassifiable,,,,,
,,9,>,צנה,,Plus_Minus,,,,,
,6,1,א֟ל,אל,,Same,,,,,
,,2,תשכח,תשכח,,Same,,,,,
,,3,חביר,חבר,,Morphological,Orthographical,,,,
,,4,בק֟רב,בֶקֶרֶב,,Same,,,,,
,,5,ואל,ואל,,Same,,,,,
,,6,תעזבהו,תעזבהו,,Same,,,,,
