Chapter,Verse,Word,MS_B,MS_F,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
31,26,1,כור,,Unclassifiable,,,Morphological,Anthonym,
,,2,בו֟חן,,Unclassifiable,,,Inversion,Metathesis,
,,3,מעשה,מעשה̊,Same,,,Plus_Minus,Letter interchange,
,,4,לוטש,לוטש,Same,,,Same,Lexical,
,,5,כן֟,כן,Same,,,Unclassifiable,Masc/Fem,
,,6,היין֟,היין,Same,,,,Phonetic_affinity,
,,7,למצות,למצ[ות,Unclassifiable,,,,Grammatical,
,,8,לצים,,Unclassifiable,,,,Orthographical,
,,9,נבון,,Plus_Minus,,,,Coordination,
,,10,בוחן,,Plus_Minus,,,,Determination,
,,11,מעשה,,Plus_Minus,,,,Singular/Plural,
,,12,מעשה,,Plus_Minus,,,,Suffix Pron.,
,,13,כן,,Plus_Minus,,,,Syntax,
,,14,שכר,,Plus_Minus,,,,Mispelling,
,,15,לריב,,Plus_Minus,,,,Preposition,
,,16,לצים,,Plus_Minus,,,,,
,27,1,למי,[,Unclassifiable,,,,,
,,2,היין,],Unclassifiable,,,,,
,,3,חיים,חיים,Same,,,,,
,,4,לאנוש,לא̊נ̊וש,Same,,,,,
,,5,אם,אם,Same,,,,,
,,6,ישתנו,ישתנו,Same,,,,,
,,7,במתכ̇נ̇תו,[],,,,,,
,,8,מה,[מה,Unclassifiable,,,,,
,,9,חי̇י̇ם̇,חיי]ם̊,Unclassifiable,,,,,
,,10,ח̇ס̇ר̇,ח̊ס̊ר̇,Same,,,,,
,,11,ה̇י̇י̇ן,היין,Same,,,,,
,,12,ש̇ה̇ו̇א,שה[וא],Unclassifiable,,,,,
,,13,מ̊̊ר̊̊א֟שי̊̊ת̊̊,מרא[שית,Unclassifiable,,,,,
,,14,לש̊̊מח̇ה̇,,Unclassifiable,,,,,
,,15,נ̇ו̇צ֟ר,נוצרו:],Unclassifiable,,,,,
,28,1,שמחת,[שמ]ח̊ת̊,Unclassifiable,,,,,
,,2,לב,ל̇ב̇,Same,,,,,
,,3,וששון,וששון,Same,,,,,
,,4,ועדוי,ועדוי,Same,,,,,
,,5,יין,יין,Same,,,,,
,,6,נשתה,נש̇א̊ר̊,Lexical,,,,,
,,7,ב̇ע̊̊ת֟̇ו,ב̊[,Unclassifiable,,,,,
,,8,וד̇אי,[,Unclassifiable,,,,,
,,9,חיי,חיים,Lexical,,,,,
,,10,מה,למה,Lexical,,,,,
,,11,לחסר̇,יחסר,Morphological,Grammatical,,,,
,,12,תירוש,תירוש,Same,,,,,
,,13,והוא,והוא,Same,,,,,
,,14,לגיל,לגיל,Same,,,,,
,,15,נחלק,],Unclassifiable,,,,,
,,16,מראש,[,Unclassifiable,,,,,
,29,1,כאב,כאב,Same,,,,,
,,2,ראש,ראש,Same,,,,,
,,3,לענה,לענה,Same,,,,,
,,4,וקלון,ורוש,Lexical,,,,,
,,5,יין,יין,Same,,,,,
,,6,נשתה,נשתה,Same,,,,,
,,7,בתחרה,בחר̊י̊[,,,,,,
,,8,וכעס,[,,,,,,
,30,1,מ̇ר̇בה,מרבה,Same,,,,,
,,2,ח̇מר,חמד,Same,,,,,
,,3,לכ̇ס̇יל,לכסיל,Same,,,,,
,,4,מ̇ו̇ק֟ש,נוקש,Lexical,,,,,
,,5,מחס̊̊ר,מחסר,Same,,,,,
,,6,כח,כח,Same,,,,,
,,7,ומספק,ומספיק,Morphological,,,,,
,,8,פצ֟ע,[ ],,,,,,
,31,1,במשתה,במשתה,Same,,,,,
,,2,היין,יין,Morphological,Determination,,,,
,,3,א̊̊ל,א̊̊ל,Same,,,,,
,,4,[תו]כ̊̊ח̊̊,תוכח,Unclassifiable,,,,,
,,5,ר̊̊ע,רֵעַ,Same,,,,,
,,6,ו̊̊א̊̊ל,ואל,Same,,,,,
,,7,ת̊̊ו̊̊ג֟̊̊ה̊̊ו̊̊,תוגַהו,Same,,,,,
,,8,[בח]ד̊̊[ו]ת̊̊ו̊̊,בחדותו,Unclassifiable,,,,,
,,10,,לעיני,Plus_Minus,,,,,
,,11,,כל,Plus_Minus,,,,,
,,12,,אדם,Plus_Minus,,,,,
,,13,דבר,דבר,Same,,,,,
,,14,חרפה,חרפה,Same,,,,,
,,15,אל,אל,Same,,,,,
,,16,[תאמר,תאמר,Unclassifiable,,,,,
