Chapter,Verse,Word,MS_D,MS_Bmg,Categories,Subcategories_1,Subcategories_2,Lexical,Synonym
37,1,1,כל,כל,Same,,,,
,,2,אוהב,אוהב,Lexical,,,,
,,3,יאמר,אומר,Morphological,Grammatical,,,
,,4,אהבתי,אהבתי,Same,,,,
,,5,אך,אך,Same,,,,
,,6,יש,יש,Same,,,,
,,7,אהב,אוהב,Morphological,Orthographical,,,
,,8,שם,שם,Same,,,,
,,9,אהב,אוהב,Morphological,Orthographical,,,
,2,1,הלא,הלא,Same,,,,
,,2,דין,דין,Same,,,,
,,3,מגיע,מגיע,Same,,,,
,,4,עד,על,Lexical,Preposition,,,
,,5,מות,מות,Same,,,,
,,6,ריע,רע,Morphological,Orthographical,,,
,,7,כנפש,כ̇נפ̇ש̇ך̇,Morphological,Suffix Pron.,,,
,,8,נהפך,נהפך̇,Same,,,,
,,9,לצר,לצ̇ר̇׃,Same,,,,
37,3,1,הוֹי,הוי,Same,,,,
,,2,רַ֭ע,ריֵע,Morphological,Orthographical,,Morphological,Anthonym
,,3,יאֹמַ֥ר,יאמר,Same,,,Inversion,Metathesis
,,4,מדוע,מ׳,Unclassifiable,,,Unclassifiable,Letter interchange
,,5,,,,,,,Lexical
,,6,נוצָ֑רתי,נוצרתי,Same,,,,Masc/Fem
,,7,לְמַלֵּא֤,,,,,Plus_Minus,Phonetic_affinity
,,8,פְנֵי֭,,,,,Same,Grammatical
,,9,תֵבֵֿל֥,,,,,Unclassifiable,Orthographical
,,10,תַּרְמִיֽת,,,,,,Coordination
,4,1,מרע,מדּוּע,Lexical,,,,Determination
,,2,אוהב,,,,,,Singular/Plural
,,3,מביט,,,,,,Suffix Pron.
,,4,על,על,Same,,,,Syntax
,,5,שחת,שחת,Same,,,,Mispelling
,,6,ובעת,,,,,,Preposition
,,7,צוקה,,,,,,
,,8,מנוב,מנוב,Same,,,,
,,9,יעמוד,,,,,,
,5,1,אוהב,אוהב,Same,,,,
,,2,טוב,טוב,Same,,,,
,,3,נלחם,נלחם,Same,,,,
,,4,עם,עם,Same,,,,
,,5,זר,זר,Same,,,,
,,6,ונגד,ונגד,Same,,,,
,,7,ערים,ערים,Same,,,,
,,8,יחזיק,יחזיק,Same,,,,
,,9,צנה,צנה,Same,,,,
,6,1,אל,,,,,,
,,2,תשכח,תכחש,Lexical,Metathesis,,,
,,3,חבר,חבר,Same,,,,
,,4,בֶקֶרֶב,בקבר,Same,,,,
,,5,ואל,,,,,,
,,6,תעזבהו,,,,,,
,,7,בשללך,,,,,,
,7,1,כל,,,,,,
,,2,יועץ,,,,,,
,,3,אומר,אומר,Same,,,,
,,4,חזה,חוזה,Morphological,Orthographical,,,
,,5,אך,,,,,,
,,6,יש,,,,,,
,,7,יועץ,,,,,,
,,8,דרך,,,,,,
,,9,עליו,עליו,Same,,,,
,,10,,,,,,,
,8,1,,מה,Plus_Minus,,,,
,,2,מ̇י̇ו̇עץ,יועץ,Morphological,Preposition,,,
,,3,שמר,,,,,,
,,4,נפ{ש}שך,,,,,,
,,5,ודע,,,,,,
,,6,לפנים,,,,,,
,,7,מה,,,,,,
,,8,צרכו,,,,,,
,,9,כי,,,,,,
,,10,גם,,,,,,
,,11,הוא,,,,,,
,,12,נפשו,נפשו,Same,,,,
,,13,יחשב,,,,,,
,,14,למה,,,,,,
,,15,זה,,,,,,
,,16,אליו,,,,,,
,,17,יפול,,,,,,
,9,1,וי̇א̇מ̇ר,,,,,,
,,2,לך,,,,,,
,,3,להביט,להביט,Same,,,,
,,4,דרכיך,ראֹשֶך,Lexical,,,,
,,,דרכיך,ראשך,Lexical,,,,
,,5,וקם,,,,,,
,,6,מנגד,,,,,,
,,7,להביט,,,,,,
,,8,ראשך,,,,,,
,11,1,עם,,,,,,
,,2,אשה,,,,,,
