Chapter,Verse,Word,MS_E,MS_F,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
32,16,1,[ירא,[ירא,Unclassifiable,,,Lexical,Synonym,
,,2,ייָי,יוָי,Unclassifiable,,,,,
,,3,י]ב̊ין,י]ב̊ין,Unclassifiable,,,,,
,,4,משפט,משפט,Same,,,Morphological,Anthonym,
,,5,ותחבול̇ו̊ת,ות{ת}חבולות,Same,,,Inversion,Metathesis,
,,6,מנשף,מנ̇ש̊ף̊,Same,,,Unclassified,Letter interchange,
,,7,יוציא,[ יוציא],Unclassifiable,,,,Lexical,
,,8,[יראי,[יראי],Unclassifiable,,,,Masc/Fem,
,,9,ייָי,יוָי,Same,,,Plus_Minus,Phonetic_affinity,
,,10,יבי]נו,י̊בינו,Unclassifiable,,,Same,Grammatical,
,,11,משפטו,משפטו,Same,,,Unclassifiable,Orthographical,
,,12,וחכמות,וחכמות,Same,,,,Coordination,
,,13,,,,,,,Determination,
,,14,י̊ו̊צ̊י̊[או],יוציאו,Unclassifiable,,,,Singular/Plural,
,,15,מלבם,מלבם̇,Same,,,,Suffix Pron.,
,17,1,[איש,איש,Unclassifiable,,,,Syntax,
,,2,חמס],חמס,Unclassifiable,,,,Mispelling,
,,3,י̊טה,יטה,Same,,,,Preposition,
,,4,תוכחות,תוכחות,Same,,,,,
,,5,ויאחר,ויאחר,Same,,,,,
,,6,צרכו,צרכו,Same,,,,,
,,7,למשך,למשך,Same,,,,,
,,8,ת̊ו̊ר̊ה̇,תורה,Same,,,,,
,18,1,[איש,איש,Unclassifiable,,,,,
,,2,,,,,,,,
,,3,לא,לא,Unclassifiable,,,,,
,,4,יכ]ס̊ה̇,י̇כסה,Unclassifiable,,,,,
,,5,חכמה,חכמה,Same,,,,,
,,6,ולץ,ולץ,Same,,,,,
,,7,לא,לא,Same,,,,,
,,8,ישמר,ישמור,Morphological,Orthographical,,,,
,,9,לשו̊נ̊ו̊,לשונו,Same,,,,,
,,10,[איש,איש,Unclassifiable,,,,,
,,11,חמס],חמס,Unclassifiable,,,,,
,,12,ל̇א̊,לא,Same,,,,,
,,13,יקח,יקח,Same,,,,,
,,14,שכל,שכל,Same,,,,,
,,15,זד,זד,Same,,,,,
,,16,ולֵץ,ולץ,,,,,,
,,17,לא,לא,Same,,,,,
,,18,יקח,יקח,Same,,,,,
,,19,מצוה,מצוה,Same,,,,,
,19,1,[בלא,בלא,Unclassifiable,,,,,
,,2,עצה,עצה,Unclassifiable,,,,,
,,3,אל,אל],Unclassifiable,,,,,
,,4,תפעל,תפעל,Same,,,,,
,,5,דבר,דבר,Same,,,,,
,,6,ואחר,ואחר,Same,,,,,
,,7,מעשיך,מעשיך,Same,,,,,
,,8,אל,אל,Same,,,,,
,,9,תתקפץ,תתקפץ,Same,,,,,
,20,1,[בדרך,בדרך,Unclassifiable,,,,,
,,2,מוקש]ת̊,מוקשת,Unclassifiable,,,,,
,,3,אל,אל,Same,,,,,
,,4,תלך,תלך,Same,,,,,
,,5,ואל,ואל,Same,,,,,
,,6,תתקל,תתקל,Same,,,,,
,,7,בדרך,בדרך,Same,,,,,
,,8,נגף,נגף,Same,,,,,
,21/22,1,>,>,,,,,,
,,2,>,>,,,,,,
,,3,>,>,,,,,,
,,4,>,>,,,,,,
,,5,>,>,,,,,,
,,6,>,>,,,,,,
,,7,[אל,אל,Unclassifiable,,,,,
,,8,תתחר?],תבטח,Unclassifiable,,,,,
,,9,ב̊דרך,בדרך,Same,,,,,
,,10,רשעים,רשעים,Same,,,,,
,,11,ובאחריתך,ובאחריתך,Same,,,,,
,,12,היה,היה,Same,,,,,
,,13,זהיר,זהיר,Same,,,,,
,23,1,>,>,,,,,,
,,2,>,>,,,,,,
,,3,>,>,,,,,,
,,4,>,>,,,,,,
,,5,>,>,,,,,,
,,6,>,>,,,,,,
,,7,>,>,,,,,,
,,8,>,>,,,,,,
,,9,>,>,,,,,,
,,10,>,>,,,,,,
,,11,>,>,,,,,,
,,12,>,>,,,,,,
,,13,>,>,,,,,,
,,14,>,>,,,,,,
,,15,>,>,,,,,,
,,16,>,>,,,,,,
,,17,>,>,,,,,,
,,18,>,>,,,,,,
,,19,>,>,,,,,,
,24,1,[נוצר,נוצר,Unclassifiable,,,,,
,,2,תור]ה,תורה,Unclassifiable,,,,,
,,3,נוצר,נוצר,Same,,,,,
,,4,נפשו,נפשו,Same,,,,,
,,5,ובוטח,ובוטח,Same,,,,,
,,6,בייָי,ביוָי,Same,,,,,
,,7,לא,לא,Same,,,,,
,,8,יבוש,יבוש,Same,,,,,
33,1,1,[ירא,ירא,Unclassifiable,,,,,
,,2,ייָי,יוָי,Unclassifiable,,,,,
,,3,לא ],לא,Unclassifiable,,,,,
,,4,י̊פגע,יפגע,Same,,,,,
,,5,רע,רע,Same,,,,,
,,6,כי,כי,Same,,,,,
,,7,אם,אם,Same,,,,,
,,8,בנסוי,בניסוי,Morphological,Orthographical,,,,
,,9,ישוב,ישוב,Same,,,,,
,,10,ונמלט,ונמלט,Same,,,,,
,2,1,לא ],לא,Unclassifiable,,,,,
,,2,יכחם ],יחכם,Unclassifiable,,,,,
,,3,שונא,שונא,Same,,,,,
,,4,תורה,תורה,Same,,,,,
,,5,ומתמוטט,ומתמוטט,Same,,,,,
,,6,כמסערה,כמסערה,Same,,,,,
,,,אזנו,אזנו,Same,,,,,
