Chapter,Verse,Word,MS_M,MS_Bmg,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
39,27,,לזרה,לזרא,,,,Lexical,Synonym,
40,13,1,חיל,חיל,Same,,,,,
,,3,מעול֗,מחיל,Lexical,,,,,
,,4,],,,,,Inversion,Metathesis,
,,5,,,,,,,,
,,6,,,,,,Unclassifiable,Letter interchange,
,,7,,,,,,,Masc/Fem,
,,8,,,,,,Plus_Minus,Phonetic_affinity,
,,9,]ת,,,,,Same,Grammatical,
,14,1,,,,,,Unclassifiable,Orthographical,
,,2,עם,עם,Same,,,,,
,,3,שאתו,שאתו,Same,,,,Preposition,
,,4,כפ̇י̇[ ם,,,,,,,
,,5,[,,,,,,,
,,6,,,,,,,,
,,7,,,,,,,,
,,8,,,,,,,,
,,9,]ת,,,,,,,
,15,1,נצר,נצר,Same,,,,,
,,2,חמס,חמס,Same,,,,,
,,3,לא,לא,Same,,,,,
,,4,יכה,יכה,Same,,,,,
,,5,בו,בו,Same,,,,,
,,6,[,,,,,,,
,,7,,,,,,,,
,,8,,,,,,,,
,,9,],,,,,,,
,,10,ש֯ן,שן,Same,,,,,
,,11,צר,צור,Morphological,Orthographical,,,,
,16,1,כקרמית,,,,,,,
,,2,על,,,,,,,
,,3,גפות,,,,,,,
,,4,נחל̇,,,,,,,
,,5,[לפני,,,,,,,
,,6,כ]ל̊,,,,,,,
,,7,חצ̇י̊ר̊,,,,,,,
,,8,נדעך,נדעכה,Morphological,Suffix Pron.,,,,
,17,1,חסד,,,,,,,
,,2,כעד̇,,,,,,,
,,3,לא,,,,,,,
,,4,תכרת,,,,,,,
,,5,ו̇צ̇ד̇קה,,,,,,,
,,6,לע̇ד̇,,,,,,,
,,7,ת̊כ̇ן,,,,,,,
,18,1,חיי,,,,,,,
,,2,יתר,יותר,Morphological,Orthographical,,,,
,,3,ש̊כר,שכל,Lexical,,,,,
,,4,ימתקו,,,,,,,
,,5,ומ̇ש̇ניהם,,,,,,,
,,6,מ֗צ֯א֯,,,,,,,
,,7,[],,,,,,,
,19,1,ילד,,,,,,,
,,2,ו[עיר,,,,,,,
,,3,יעמ]ידו,,,,,,,
,,4,שם,,,,,,,
,,5,ומשניהם,,,,,,,
,,6,מ̊ו̊צ̊[,,,,,,,
,,7,,,,,,,,
,,8,,,,,,,,
,,9,,,,,,,,
,,10,]ו̇,,,,,,,
,,11,שאר,,,,,,,
,,12,ו̇מ̊ש̇נ̊י̊[הם,,,,,,,
,,13,אשה,,,,,,,
,,14,נ]ח̊שקת,,,,,,,
,26,1,,כל,,,,,,
,,2,,ימי,,,,,,
,,3,,עני,,,,,,
,,4,,רעים,,,,,,
,,5,[ומ]ש̇נ̊י̊ה̇ם̇,בן,,,,,,
,,6,,סירא,,,,,,
,,7,,אומ,,,,,,
,,8,,א̇ף̇,,,,,,
,,9,,ב̇ל̇י̇ל̇א̇,,,,,,
,,10,,בשפל,,,,,,
,,11,,גגים,,,,,,
,,12,,גגו,,,,,,
,,13,,במרום,,,,,,
,,14,,הרים,,,,,,
,,15,,כרמו,,,,,,
,,16,,ממטר,,,,,,
,,17,,גגים,,,,,,
,,18,,לגגו,,,,,,
,,19,,מעפר,,,,,,
,,20,,כרמו,,,,,,
,,21,,לכרמים,,,,,,
,,22,,מי,,,,,,
,,23,,מאניד,,,,,,
,,24,,כו,,,,,,
,,25,,אין,,,,,,
,,26,,פו,,,,,,
,,27,,בינוסכתי,,,,,,
,,28,,אצל,,,,,,
,,29,,בוד,,,,,,
,,30,,אילא,,,,,,
,,31,,פא,,,,,,
,,32,,קול,,,,,,
,,33,,מ̇י̇,,,,,,
,,34,,גופ̇ת֯,,,,,,
,27,1,[,,,,,,,
,,2,,,,,,,,
,,3,,,,,,,,
,,4,],,,,,,,
,,5,ועל,כ֯י֯,Lexical,,,,,
,,6,כל,,Plus_Minus,,,,,
,,7,כ̊ב̊[ו]ד̊,,,,,,,
,,8,חפתה,,,,,,,
,28,1,[,בני,,,,,,
,,2,,,,,,,,
,,3,,,,,,,,
,,4,,,,,,,,
,,5,],,,,,,,
,,6,טוב,,,,,,,
