Chapter ,Verse,Word,MS_A_mg,MS_A,MS_C,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
3,14,1,,צדקת,צדקת,Same,,,Lexical,Synonym,
,,2,,אב,אב,Same,,,Morphological,Anthonym,
,,3,,לא,אל,Lexical,Synonym,,Inversion,Metathesis,
,,4,,תמחה,תשכח,Lexical,Synonym,,Unclassified,Letter interchange,
,,5,,ותמור,ו̇תחת,Lexical,Synonym,,Plus_Minus,Phonetic_affinity,
,,6,,חטאת,ענו̇תו,Lexical,Synonym,,Same,Grammatical,
,,7,,היא,,Plus_Minus,,,Unclassifiable,Orthographical,
,,8,,תנתע,תתנצ̇ [ב],Unclassifiable,,,,Coordination,
,,,תנטע,תנתע,,Lexical,Phonetic_affinity,,,Determination,
,15,1,,ביום,ביום,Same,,,,Singular/Plural,
,,2,,צרה,,Plus_Minus,,,,Suffix Pron.,
,,3,,תזכר,יז̇בר,Lexical,Letter interchange,,,Syntax,
,,,,תזכר,יז̇בר,Morphological,Grammatical,,,Mispelling,
,,4,,לך,לך,Same,,,,Preposition,
,,5,,כחם,וכחורב,Lexical,Synonym,,,,
,,6,,על,על,Same,,,,,
,,7,,כפור,קרח,Lexical,Synonym,,,,
,,8,,להשבית,נמס,Lexical,Synonym,,,,
,,9,,עוניך,חטאתיך̇,Lexical,Synonym,,,,
,16,1,,כי,,Plus_Minus,,,,,
,,2,,מזיד,כמגדף,Lexical,,,,,
,,3,,בוזה,העוזב,Lexical,,,,,
,,,,בוזה,העוזב,Morphological,Determination,,,,
,,5,,אביו,אביו,Same,,,,,
,,6,,ומכעיס,וזועם,Lexical,Synonym,,,,
,,7,,בוראו,אל,Lexical,Synonym,,,,
,,8,,מקלל,יסחוב,Lexical,,,,,
,,9,,אמו,אמו,Same,,,,,
,17,1,,בני,בני,Same,,,,,
,,2,,,את,Plus_Minus,,,,,
,,3,,,כל,Plus_Minus,,,,,
,,4,,בעשרך,מ̇לאכתיך,Lexical,,,,,
,,6,,התהלך,בענוה,Lexical,,,,,
,,7,,בענוה,הלוך,Lexical,,,,,
,,,,התהלך,הלוך,Morphological,Grammatical,,,,
,,8,,,ומאיש,Plus_Minus,,,,,
,,10,,תאהב,,Plus_Minus,,,,,
,,11,,מנותן,,Plus_Minus,,,,,
,,12,,מתנות,מתן,Morphological,Singular/Plural,,,,
,,13,,,תאהב,Plus_Minus,,,,,
,18,1,,מעט,,Plus_Minus,,,,,
,,2,,נפשך,,Plus_Minus,,,,,
,,3,,מכל,,Plus_Minus,,,,,
,,4,,,בני,Plus_Minus,,,,,
,,5,,גדולֹת,גדול,Morphological,Singular/Plural,,,,
,,6,,עולם,,Plus_Minus,,,,,
,,7,,,את̇ה,Plus_Minus,,,,,
,,8,,ולפני,,Plus_Minus,,,,,
,,9,,א‍ֵל,,Plus_Minus,,,,,
,,10,,,כן,Plus_Minus,,,,,
,,11,,,ת̇שפיל,Plus_Minus,,,,,
,,12,,,נפשך,Plus_Minus,,,,,
,,13,,,ובעיני,Plus_Minus,,,,,
,,14,,,אלהים,Plus_Minus,,,,,
,,15,,ת̇מ̇צא,ת̇מ̇צא,Same,,,,,
,,16,,רחמים,חן,Lexical,Synonym,,,,
,21,1,,פלאות,פלאות,Same,,,,,
,,2,,ממך,ממך,Same,,,,,
,,3,,אל,אל,Same,,,,,
,,4,,תדרוש,תחקור,Lexical,Synonym,,,,
,,6,,ומכוסה,ורעים,Lexical,,,,,
,,7,,ממך,ממך,Same,,,,,
,,8,,אל,אל,Same,,,,,
,,9,,תחקור,ת̊ד̊רוש,Lexical,Synonym,,,,
,22,1,,במה,באשר,Lexical,Synonym,,,,
,,2,,שהורשית,הורשיתה,Morphological,Orthographical,,,,
,,3,,התבונן,התבונן,Same,,,,,
,,4,,ואין,,Plus_Minus,,,,,
,,5,,לך,,Plus_Minus,,,,,
,,6,,עסק,ועסק,Morphological,Coordination,,,,
,,7,,,אל,Plus_Minus,,,,,
,,8,,,יהי,Plus_Minus,,,,,
,,9,,,לך,Plus_Minus,,,,,
,,,,ואין לך,אל יהי לך,Lexical,Synonym,,,,
,,10,,,בנסתרות,Plus_Minus,,,,,
41,16,1,,,לא,,,,,,
,,2,,,כל,,,,,,
,,3,,,בושת,,,,,,
,,4,,,נאה,,,,,,
,,5,,,לשמור,,,,,,
,,6,,,ולא,,,,,,
,,7,,,כל,,,,,,
,,8,,,הכלם,,,,,,
,,9,,,נבחר,,,,,,
4,21,1,,כי,,Plus_Minus,,,,,
,,2,,יש,יש,Same,,,,,
,,3,,בֹשֶ̇אּ̇תֿ,בשת,Morphological,Orthographical,,,,
,,4,,משאת,משאת,Same,,,,,
,,5,,עון,עון,Same,,,,,
,,6,,ויש,ויש,Same,,,,,
,,7,,בשת,בשת,Same,,,,,
,,8,,כבוד,חן,Inversion,,,,,
,,9,,וחן,וכבוד,Inversion,,,,,
,22,1,,אל,אל,Same,,,,,
,,2,,תשא,תשא,Same,,,,,
,,3,,פניך,פנים,Morphological,Suffix Pron.,,,,
,,4,,על,,Plus_Minus,,,,,
,,5,,נפשך,לנ̇פ̇ש̇י̇ך,Morphological,Preposition,,,,
,,6,,ואל,ואל,Same,,,,,
,,7,,תכשל,תבוש,Lexical,,,,,
,,8,,למכשוליך,למכשול,Morphological,Singular/Plural,Suffix Pron.,,,
,,9,,,לך,Plus_Minus,,,,,
,23,1,,אל,אל,Same,,,,,
,,2,,תמנע,תמנע,Same,,,,,
,,3,,דבר,דבר,Same,,,,,
,,4,,בעולם,בעיתו,Lexical,,,,,
,,5,,אל,ואל,Morphological,Coordination,,,,
,,6,,תצפין,תקפוץ,Lexical,Synonym,,,,
,,7,,את,את,Same,,,,,
,,8,,חכמתך,חכמתך,Same,,,,,
,30,1,,אל,אל,Same,,,,,
,,2,,תהי,תהי,Same,,,,,
,,3,,ככלב,כאריה,Lexical,,,,,
,,4,,בביתך,בביתך,Same,,,,,
,,5,,ומוזר,,Plus_Minus,,,,,
,,6,,ומתירא,ומתפחז,Lexical,,,,,
,,7,,במלאכתך,בעבודתך,Lexical,Synonym,,,,
,31,1,,אל,אל,Same,,,,,
,,2,,תהי,תהי,Same,,,,,
,,3,,ידך,ידך,Same,,,,,
,,4,,פתוחה,מושטת,Lexical,,,,,
,,5,,לקחת,לשאת,Lexical,Synonym,,,,
,,6,,וקפוצה,ובעת,Lexical,,,,,
,,7,,בתוך,השב,Lexical,,,,,
,,8,,מתן,קפודה,Lexical,,,,,
,,,,וקפוצה,קפודה,Lexical,Synonym,,,,
,,,,בתוך,ובעת,Lexical,Synonym,,,,
,,,,מתן,השב,Lexical,Synonym,,,,
