Chapter,Verse,Word,MS_BMg,MS_C,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
,,,,,,,,Lexical,Synonym,
36,27,1,,תואר,,,,,,
,,2,,אשה,,,,,,
,,3,,מכל,,,,Morphological,Anthonym,
,,4,,פנים,,,,Inversion,Metathesis,
,,5,יהלל,[יהלל,Unclassifiable,,,Unclassified,Letter interchange,
,,6,,ן]על,,,,,Lexical,
,,7,,כל,,,,,Masc/Fem,
,,8,,[מחמד],,,,Plus_Minus,Phonetic_affinity,
,,9,,עין,,,,Same,Grammatical,
,,10,,יגב[ר ],,,,Unclassifiable,Orthographical,
,28,1,,[ועד,,,,,,
,,2,,אם],,,,,Preposition,
,,3,בה,יש,Lexical,,,,,
,,4,,בה,,,,,,
,,5,,מ[ר]פא,,,,,,
,,6,,לשון,,,,,,
,,7,,[אין,,,,,,
,,8,,א]ישה,,,,,,
,,9,,מבני,,,,,,
,,10,,אדם,,,,,,
,29,1,קונה,[קונה],Unclassifiable,,,,,
,,2,,אשה,,,,,,
,,3,,ראשית,,,,,,
,,4,,קנין,,,,,,
,,5,,קנה,,,,,,
,,6,,עיר,,,,,,
,,7,,מבצר,,Coordination,,,,
,,8,,צינה,,,,,,
,,9,,ומשען,,Coordination,,,,
,,10,,העמיד,,,,,,
,30,1,,באין,,,,,,
,,2,,גדר,,Orthographical,,,,
,,3,,[יבו]עד,,,,,,
,,4,,כרם,,,,,,
,,5,,ובאין,,,,,,
,,6,,אשה,,,,,,
,,7,, [נ]ע,,,,,,
,,8,,ונד,,,,,,
,31,1,,מי,,,,,,
,,2,,יאמין,,,,,,
,,3,,בצבא,,,,,,
,,4,,גדוד,,,,,,
,,5,,המדלג,,,,,,
,,6,,מעיר,,,,,,
,,7,,אל,,,,,,
,,8,,עיר,,,,,,
,,9,,כן,,,,,,
,,10,אשר,איש,Lexical,,,,,
,,11,אין,אשר,Lexical,,,,,
,,12,לו,לו,Same,,,,,
,,13,,קין,,,,,,
,,14,,המרגיע,,,,,,
,,15,,באשה,,,,,,
,,16,,יסביב,,,,,,
