Chapter,Verse,Word,MS_B,MS_E,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
32,16,1,ירא,[ירא,Unclassifiable,,,Lexical,Synonym,
,,2,ייי,ייָי,Unclassifiable,,,,,
,,3,יבין,י]ב̊ין,Unclassifiable,,,Morphological,Anthonym,
,,4,משפט,משפט,Same,,,Inversion,Metathesis,
,,5,ותחבולות,ותחבול̇ו̊ת,Same,,,Unclassified,Letter interchange,
,,6,מנשף,מנשף,Same,,,,Lexical,
,,7,יוציא,יוציא,Same,,,,Masc/Fem,
,,8,יראי,[יראי,Unclassifiable,,,Plus_Minus,Phonetic_affinity,
,,9,ייי,ייָי,Unclassifiable,,,Same,Grammatical,
,,10,יבינו,יבי]נו,Unclassifiable,Preposition,,Unclassifiable,Orthographical,
,,11,משפטו,משפטו,Same,,,,Coordination,
,,12,וכח֟מות,וחכמות,Lexical,Metathesis,,,Determination,
,,13,רבות,,Plus_Minus,,,,Singular/Plural,
,,14,יוציאו,י̊ו̊צ̊י̊[או],Unclassifiable,,,,Suffix Pron.,
,,15,מלבם,מלבם,Same,,,,Syntax,
,17,1,איש,[איש,Unclassified,,,,Mispelling,
,,2,חכ֟ם,חמס],Unclassified,,,,Preposition,
,,3,יטה,י̊טה,Same,,,,,
,,4,תוכחות,תוכחות,Same,,,,,
,,5,ואח֟ר,ויאחר,Morphological,Grammatical,,,,
,,6,צרכו,צרכו,Same,,,,,
,,7,ימ֟שך,למשך,Morphological,Grammatical,,,,
,,8,תורה,ת̊ו̊ר̊ה̇,Same,,,,,
,18,1,איש,[איש,Unclassifiable,,,,,
,,2,חכם,,Unclassifiable,,,,,
,,3,לא,לא,Unclassifiable,,,,,
,,4,יכסה,יכ]ס̊ה̇,Unclassifiable,,,,,
,,5,כח֟מה,חכמה,Lexical,,,,,
,,6,ולץ,ולץ,Same,,,,,
,,7,לא,לא,Same,,,,,
,,8,ישמר,ישמר,Same,,,,,
,,9,לשונו,לשו̊נ̊ו̊,Same,Metathesis,,,,
,,10,איש,[איש,Unclassifiable,,,,,
,,11,חכם,חמס],Unclassifiable,Synonym,,,,
,,12,לא,ל̇א̊,Same,,,,,
,,13,יקח,יקח,Same,,,,,
,,14,שחד,שכל,Lexical,,,,,
,,15,זד,זד,Same,,,,,
,,16,ולץ,ולֵץ,Same,,,,,
,,17,לא,לא,Same,,,,,
,,18,ישמר,יקח,Morphological,Suffix Pron.,,,,
,,19,תורה,מצוה,Lexical,,,,,
,19,1,בלא,[בלא,Unclassifiable,,,,,
,,2,עצה,עצה,Unclassifiable,,,,,
,,3,אל,אל],Unclassifiable,,,,,
,,4,תפעל,תפעל,Same,,,,,
,,5,דבר,דבר,Same,,,,,
,,6,ואחר,ואחר,Same,,,,,
,,7,מעשיך,מעשיך,Same,,,,,
,,8,אל,אל,Same,,,,,
,,9,תתקצף,תתקפץ,Lexical,Metathesis,,,,
,20,1,בדרך,[בדרך,Unclassifiable,,,,,
,,2,מוקשת,מוקש]ת̊,Unclassifiable,,,,,
,,3,אל,אל,Same,,,,,
,,4,תלך,תלך,Same,,,,,
,,5,ואל,ואל,Same,,,,,
,,6,תתקל,תתקל,Same,,,,,
,,7,בנגף,בדרך,Lexical,,,,,
,,8,פעמים,נגף,Lexical,,,,,
,21/22,1,אל,>,Plus_Minus,,,,,
,,2,תבטח,>,Plus_Minus,,,,,
,,3,בדרך,>,Plus_Minus,,,,,
,,4,מח֟תף,>,Plus_Minus,,,,,
,,5,ובאחריתך,>,Plus_Minus,,,,,
,,6,הש֟מר,>,Plus_Minus,,,,,
,,7,אל,[אל,Lexical,,,,,
,,8,תבטח,תתחר?],Unclassifiable,,,,,
