Chapter,Verse,Word,MS_M,MS_B,Categories,Subcategories_1,Subcategories_2,Category_names,Subcategory_names,Comments
40,13,1,חיל,מחול,Morphological,Grammatical,,Lexical,Synonym,
,,2,מעול,אל,Lexical,,,,,
,,3,,חול,Lexical,,,,,
,14,1,עם,עם,Same,,,Morphological,Anthonym,
,,2,,עם,Plus_Minus,,,Inversion,Metathesis,
,,3,שאתו,שאתו,Same,,,,Preposition,
,,4,כפי[ם],כפים,Unclassifiable,,,,,
,15,1,נצר,נוצר,Morphological,Orthographical,,,,
,,2,חמס,מחמס,Morphological,Preposition,,,,
,,3,לא,לא,Same,,,,,
,,4,יכה,ינקה,Lexical,,,,,
,,5,,כי,Plus_Minus,,,,,
,,6,,שורש,Plus_Minus,,,,,
,,7,,חנף,Plus_Minus,,,,,
,,8,,על,Plus_Minus,,,,,
,,9,שן,שן,Same,,,,,
,,10,צר,סלע,Lexical,,,,,
,16,1,כקרמית,כקרדמות,Lexical,,,,,
,,2,על,על,Same,,,,,
,,3,גפות,גפת,Morphological,Orthographical,,,,
,,4,נחל,נחל,Same,,,,,
,,5,[לפני,מפני,Unclassifiable,,,,,
,,6,כ]ל,כל,Unclassifiable,,,,,
,,7,חציר,מטר,Lexical,,,,,
,,8,נדעך,נדעכו,Morphological,Suffix Pron.,,,,
,17,1,חסד,וחסד,Morphological,Coordination,,,,
,,2,כעד,לעולם,Lexical,Synonym,,,,
,,3,לא,לא,Same,,,,,
,,4,תכרת,ימוט,Lexical,Synonym,,,,
,,5,וצדקה,וצדקה,Same,,,,,
,,6,לעד,לעד,Same,,,,,
,,7,תכן,תכון,Morphological,Orthographical,,,,
,18,1,חיי,חיי,Same,,,,,
,,2,יתר,יין,Lexical,,,,,
,,3,ש̊כר,ו֟שכר,Morphological,Coordination,,,,
,,4,ימתקו,ימתקו,Same,,,,,
,,5,ומ̇ש̇ניהם,ומשנ̇יהם,Same,,,,,
,,6,מ֗צ֯א֯[.     ],מוצא,Unclassifiable,,,,,
,,7,,אוצ֟ר,Unclassifiable,,,,,
,19,1,ילד,ילד,Same,,,,,
,,2,ו[עיר,ועיר,Unclassifiable,,,,,
,,3,יעמ]ידו,יעמידו,Unclassifiable,,,,,
,,4,שם,שם,Same,,,,,
,,5,ומשניהם,ומשניהם,Same,,,,,
,,6,מ̊ו̊צ̊[,מוצא,Unclassifiable,,,,,
,,7,,חכמה,Unclassifiable,,,,,
,,8,,שגר,Unclassifiable,,,,,
,,9,,ונטע,Unclassifiable,,,,,
,,10,]ו̇,יפריחו,Unclassifiable,,,,,
,,11,שאר,שם,Lexical,,,,,
,,12,ו̇מ̊ש̇נ̊י̊[הם,ומשניהם,Unclassifiable,,,,,
,,13,אשה,אשה,Same,,,,,
,,14,נ]ח̊שקת,נחשקת,Unclassifiable,,,,,
,26,1,,חיל,Unclassifiable,,,,,
,,2,,וכח,Unclassifiable,,,,,
,,3,,יגב̊̊[י]ה̊̊ו̊̊,Unclassifiable,,,,,
,,4,,לב,Unclassifiable,,,,,
,,5,,ומשניהם,Unclassifiable,,,,,
,,6,,[י]ר̇את,Unclassifiable,,,,,
,,7,,אלהים,Unclassifiable,,,,,
,,8,,אין,Unclassifiable,,,,,
,,9,,ביראת,Unclassifiable,,,,,
,,10,,ייי,Unclassifiable,,,,,
,,11,,מחסור,Unclassifiable,,,,,
,,12,[ו]אין,ואין,Same,,,,,
,,13,לבקש,לבקש,Same,,,,,
,,14,עמה,עמה,Same,,,,,
,,15,,מ̇ש̊̊ען,Same,,,,,
,27,1,,יראת,Plus_Minus,,,,,
,,2,,אלהים,Plus_Minus,,,,,
,,3,,כעדן,Plus_Minus,,,,,
,,4,,ברכה,Plus_Minus,,,,,
,,5,ועל,וכן,Lexical,,,,,
,,6,כל,כל,Same,,,,,
,,7,כב[ו]ד,כבוד,Same,,,,,
,,8,חפתה,חפתה,Same,,,,,
,28,1,[,מ֟ני,Unclassifiable,,,,,
,,2,,חיי,Unclassifiable,,,,,
,,3,,מתן,Unclassifiable,,,,,
,,4,,אל,Unclassifiable,,,,,
,,5,],תחי,Unclassifiable,,,,,
,,6,טוב,טוב,Same,,,,,
,,7,[נא]ש̇ף,נאסף,Unclassifiable,,,,,
,,8,◦ממחצף,ממסתולל,Lexical,,,,,
,29,1,[,איש,Unclassified,,,,,
,,2,,משגיח,Unclassifiable,,,,,
,,3,,על,Unclassifiable,,,,,
,,4,,שלחן,Unclassifiable,,,,,
,,5,],זר,Unclassifiable,,,,,
,,6,[אין,אין,Unclassifiable,,,,,
,,7,חייו,חייו,Unclassifiable,,,,,
,,8,ל]מ̊נ̇ות,למנות,Unclassifiable,,,,,
,,9,חיים,חיים,Same,,,,,
,,10,[,מעגל,Unclassifiable,,,,,
,,11,],נ֟פש,Unclassifiable,,,,,
,,12,מ̊ט̊[עמו],מטעמו֟,Unclassifiable,,,,,
,,13,[לאי]ש,לאיש,Unclassifiable,,,,,
,,14,י̇ודע̊,יודע,Same,,,,,
,,15,יסור,סוד,Lexical,,,,,
,,16,מעים,מעים,Same,,,,,
,30,1,בפי,לאיש,Lexical,,,,,
,,2,עז,עוז,Morphological,Orthographical,,,,
,,3,[נ]פ֯ש,נ֟פש,Unclassifiable,,,,,
,,4,ת[מתיק,ת֟מתיק,Unclassifiable,,,,,
,,5,שאלה],שאלה,Unclassifiable,,,,,
,,6,[בקרב]ו,בקרבו,Unclassifiable,,,,,
,,7,כאש,תבער,Lexical,,,,,
,,8,תבער,כמו,Lexical,,,,,
,,9,,אש,Plus_Minus,,,,,
41,1,1,הו̇[י],חי֟ים,Unclassifiable,,,,,
,,2,ל̇[מות,למות,Unclassifiable,,,,,
,,3,מה,מה,Same,,,,,
,,4,מר,מ̇ר,Same,,,,,
,,5,ז ]כ֯ר֯ך֗,יב̇רך,Unclassifiable,,,,,
,,6,ל̇איש,לאיש,Same,,,,,
,,7,שקט,שוקט̊̊,Morphological,Orthographical,,,,
,,,שקט,שוקט̊̊,Morphological,Grammatical,,,,
,,8,על,על,Same,,,,,
,,9,מכונתו,מכונתו,Same,,,,,
,,10,,איש,Plus_Minus,,,,,
,,11,שלו,שליו,Morphological,Orthographical,,,,
,,12,ומצ̊ל̊י̊ח̊,ומצ̇ליח,Same,,,,,
,,13,בכל,בכל,Same,,,,,
,,14,עוד,ועוד,Morphological,Coordination,,,,
,,15,בו,בו̇,Same,,,,,
,,16,כח,ח̇יל,Lexical,Synonym,,,,
,,17,לקבל,לקבל,Same,,,,,
,,18,תענוג,תענוג,Same,,,,,
,2,1,הע,האח,Lexical,Synonym,,,,
,,2,למות,למות,Same,,,,,
,,3,מה,כי,Lexical,,,,,
,,4,טוב,טוב,Same,,,,,
,,5,ח̊[קך],ח֟ק֟י֟ך,Unclassifiable,,,,,
,,6,ל]אין,לאיש,Unclassifiable,,,,,
,,7,אוינים,אונים,Morphological,Orthographical,,,,
,,8,וחסר,וחסר,Same,,,,,
,,9,עצבה,עצמה,Lexical,,,,,
,,10,איש,איש,Same,,,,,
,,11,כשל,כושל,Morphological,Orthographical,,,,
,,12,{מ֯של֯},,Unclassifiable,,,,,
,,13,ונוקש,ינק֟ש,Morphological,Grammatical,,,,
,,14,בכ̊[ל ],בכל,Unclassifiable,,,,,
,,15,אפס,סרב,Lexical,,,,,
,,16,המרה,,Plus_Minus,,,,,
